,City,sql
288,North Baltimore,"INSERT INTO City (Id, Name, State) VALUES (288, 'North Baltimore', 'OH')"
289,Mount Orab,"INSERT INTO City (Id, Name, State) VALUES (289, 'Mount Orab', 'OH')"
290,Mariemont,"INSERT INTO City (Id, Name, State) VALUES (290, 'Mariemont', 'OH')"
291,Gallipolis,"INSERT INTO City (Id, Name, State) VALUES (291, 'Gallipolis', 'OH')"
292,Lockland,"INSERT INTO City (Id, Name, State) VALUES (292, 'Lockland', 'OH')"
293,Uniontown,"INSERT INTO City (Id, Name, State) VALUES (293, 'Uniontown', 'OH')"
294,Moreland Hills,"INSERT INTO City (Id, Name, State) VALUES (294, 'Moreland Hills', 'OH')"
295,Woodlawn,"INSERT INTO City (Id, Name, State) VALUES (295, 'Woodlawn', 'OH')"
296,Lordstown,"INSERT INTO City (Id, Name, State) VALUES (296, 'Lordstown', 'OH')"
297,Millersburg,"INSERT INTO City (Id, Name, State) VALUES (297, 'Millersburg', 'OH')"
298,West Union,"INSERT INTO City (Id, Name, State) VALUES (298, 'West Union', 'OH')"
299,"Goshen Township, Mahoning County","INSERT INTO City (Id, Name, State) VALUES (299, 'Goshen Township, Mahoning County', 'OH')"
300,Hartville,"INSERT INTO City (Id, Name, State) VALUES (300, 'Hartville', 'OH')"
301,Baltimore,"INSERT INTO City (Id, Name, State) VALUES (301, 'Baltimore', 'OH')"
302,"German Township, Montgomery County","INSERT INTO City (Id, Name, State) VALUES (302, 'German Township, Montgomery County', 'OH')"
303,Bethel,"INSERT INTO City (Id, Name, State) VALUES (303, 'Bethel', 'OH')"
304,Evendale,"INSERT INTO City (Id, Name, State) VALUES (304, 'Evendale', 'OH')"
305,Oak Harbor,"INSERT INTO City (Id, Name, State) VALUES (305, 'Oak Harbor', 'OH')"
306,Middlefield,"INSERT INTO City (Id, Name, State) VALUES (306, 'Middlefield', 'OH')"
307,Strasburg,"INSERT INTO City (Id, Name, State) VALUES (307, 'Strasburg', 'OH')"
308,Lisbon,"INSERT INTO City (Id, Name, State) VALUES (308, 'Lisbon', 'OH')"
309,Newtown,"INSERT INTO City (Id, Name, State) VALUES (309, 'Newtown', 'OH')"
310,New Richmond,"INSERT INTO City (Id, Name, State) VALUES (310, 'New Richmond', 'OH')"
311,Loudonville,"INSERT INTO City (Id, Name, State) VALUES (311, 'Loudonville', 'OH')"
312,Covington,"INSERT INTO City (Id, Name, State) VALUES (312, 'Covington', 'OH')"
313,Dennison,"INSERT INTO City (Id, Name, State) VALUES (313, 'Dennison', 'OH')"
314,Williamsburg,"INSERT INTO City (Id, Name, State) VALUES (314, 'Williamsburg', 'OH')"
315,Sabina,"INSERT INTO City (Id, Name, State) VALUES (315, 'Sabina', 'OH')"
316,Fredericktown,"INSERT INTO City (Id, Name, State) VALUES (316, 'Fredericktown', 'OH')"
317,Middleport,"INSERT INTO City (Id, Name, State) VALUES (317, 'Middleport', 'OH')"
318,Milton Township,"INSERT INTO City (Id, Name, State) VALUES (318, 'Milton Township', 'OH')"
319,Poland Village,"INSERT INTO City (Id, Name, State) VALUES (319, 'Poland Village', 'OH')"
320,Sharon Township,"INSERT INTO City (Id, Name, State) VALUES (320, 'Sharon Township', 'OH')"
321,Byesville,"INSERT INTO City (Id, Name, State) VALUES (321, 'Byesville', 'OH')"
322,New Concord,"INSERT INTO City (Id, Name, State) VALUES (322, 'New Concord', 'OH')"
323,Walton Hills,"INSERT INTO City (Id, Name, State) VALUES (323, 'Walton Hills', 'OH')"
324,West Lafayette,"INSERT INTO City (Id, Name, State) VALUES (324, 'West Lafayette', 'OH')"
325,Gates Mills,"INSERT INTO City (Id, Name, State) VALUES (325, 'Gates Mills', 'OH')"
326,Utica,"INSERT INTO City (Id, Name, State) VALUES (326, 'Utica', 'OH')"
327,Windham,"INSERT INTO City (Id, Name, State) VALUES (327, 'Windham', 'OH')"
328,Creston,"INSERT INTO City (Id, Name, State) VALUES (328, 'Creston', 'OH')"
329,Oxford Township,"INSERT INTO City (Id, Name, State) VALUES (329, 'Oxford Township', 'OH')"
330,New Boston,"INSERT INTO City (Id, Name, State) VALUES (330, 'New Boston', 'OH')"
331,Carroll Township,"INSERT INTO City (Id, Name, State) VALUES (331, 'Carroll Township', 'OH')"
332,Cardington,"INSERT INTO City (Id, Name, State) VALUES (332, 'Cardington', 'OH')"
333,Jamestown,"INSERT INTO City (Id, Name, State) VALUES (333, 'Jamestown', 'OH')"
334,"Jackson Township, Mahoning County","INSERT INTO City (Id, Name, State) VALUES (334, 'Jackson Township, Mahoning County', 'OH')"
335,Valley View,"INSERT INTO City (Id, Name, State) VALUES (335, 'Valley View', 'OH')"
336,South Zanesville,"INSERT INTO City (Id, Name, State) VALUES (336, 'South Zanesville', 'OH')"
337,Navarre,"INSERT INTO City (Id, Name, State) VALUES (337, 'Navarre', 'OH')"
338,South Bloomfield,"INSERT INTO City (Id, Name, State) VALUES (338, 'South Bloomfield', 'OH')"
339,Bellville,"INSERT INTO City (Id, Name, State) VALUES (339, 'Bellville', 'OH')"
340,Roseville,"INSERT INTO City (Id, Name, State) VALUES (340, 'Roseville', 'OH')"
341,McConnelsville,"INSERT INTO City (Id, Name, State) VALUES (341, 'McConnelsville', 'OH')"
342,Glouster,"INSERT INTO City (Id, Name, State) VALUES (342, 'Glouster', 'OH')"
343,Bridgeport,"INSERT INTO City (Id, Name, State) VALUES (343, 'Bridgeport', 'OH')"
344,Ripley,"INSERT INTO City (Id, Name, State) VALUES (344, 'Ripley', 'OH')"
345,Fairfax,"INSERT INTO City (Id, Name, State) VALUES (345, 'Fairfax', 'OH')"
346,Holland,"INSERT INTO City (Id, Name, State) VALUES (346, 'Holland', 'OH')"
347,Batavia,"INSERT INTO City (Id, Name, State) VALUES (347, 'Batavia', 'OH')"
348,South Charleston,"INSERT INTO City (Id, Name, State) VALUES (348, 'South Charleston', 'OH')"
349,McArthur,"INSERT INTO City (Id, Name, State) VALUES (349, 'McArthur', 'OH')"
350,Commercial Point,"INSERT INTO City (Id, Name, State) VALUES (350, 'Commercial Point', 'OH')"
351,Mechanicsburg,"INSERT INTO City (Id, Name, State) VALUES (351, 'Mechanicsburg', 'OH')"
352,New Middletown,"INSERT INTO City (Id, Name, State) VALUES (352, 'New Middletown', 'OH')"
353,Oak Hill,"INSERT INTO City (Id, Name, State) VALUES (353, 'Oak Hill', 'OH')"
354,Lithopolis,"INSERT INTO City (Id, Name, State) VALUES (354, 'Lithopolis', 'OH')"
355,Pioneer,"INSERT INTO City (Id, Name, State) VALUES (355, 'Pioneer', 'OH')"
356,Russells Point,"INSERT INTO City (Id, Name, State) VALUES (356, 'Russells Point', 'OH')"
357,Coitsville Township,"INSERT INTO City (Id, Name, State) VALUES (357, 'Coitsville Township', 'OH')"
358,Village of Leesburg,"INSERT INTO City (Id, Name, State) VALUES (358, 'Village of Leesburg', 'OH')"
359,Frazeysburg,"INSERT INTO City (Id, Name, State) VALUES (359, 'Frazeysburg', 'OH')"
360,Salineville,"INSERT INTO City (Id, Name, State) VALUES (360, 'Salineville', 'OH')"
361,New Vienna,"INSERT INTO City (Id, Name, State) VALUES (361, 'New Vienna', 'OH')"
362,Magnolia,"INSERT INTO City (Id, Name, State) VALUES (362, 'Magnolia', 'OH')"
363,Addyston,"INSERT INTO City (Id, Name, State) VALUES (363, 'Addyston', 'OH')"
364,Albany,"INSERT INTO City (Id, Name, State) VALUES (364, 'Albany', 'OH')"
365,Woodmere Village,"INSERT INTO City (Id, Name, State) VALUES (365, 'Woodmere Village', 'OH')"
366,Felicity,"INSERT INTO City (Id, Name, State) VALUES (366, 'Felicity', 'OH')"
367,Owensville,"INSERT INTO City (Id, Name, State) VALUES (367, 'Owensville', 'OH')"
368,Kirtland Hills,"INSERT INTO City (Id, Name, State) VALUES (368, 'Kirtland Hills', 'OH')"
369,Peninsula,"INSERT INTO City (Id, Name, State) VALUES (369, 'Peninsula', 'OH')"
370,Waite Hill,"INSERT INTO City (Id, Name, State) VALUES (370, 'Waite Hill', 'OH')"
